"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"4.734","0.115","0.374","2.806","1.106","0.749","6.835","0.748","19.811","4.076","2.306","0.282",41.665
"4.894","0.107","0.375","2.852","1.064","0.745","6.748","0.705","11.880","4.076","1.676","0.252",42.015
"5.298","0.105","0.402","3.337","1.109","0.777","7.143","0.789","9.728","4.136","1.561","0.240",42.365
"5.847","0.107","0.406","3.472","1.075","0.777","7.393","0.743","9.695","4.059","1.408","0.236",42.715
"6.335","0.107","0.440","3.582","1.069","0.835","7.774","0.734","11.726","4.459","1.420","0.285",43.065
"6.047","0.120","0.448","3.723","1.012","0.951","7.407","0.682","14.585","4.483","1.344","0.296",43.415
"4.831","0.123","0.446","3.704","1.020","0.966","7.344","0.766","14.538","4.428","1.390","0.302",43.766
"4.241","0.143","0.429","3.668","1.038","0.928","7.071","0.678","13.413","4.136","1.281","0.282",44.116
"4.469","0.135","0.437","3.556","1.075","0.841","6.931","0.628","11.163","4.109","1.372","0.284",44.466
"5.002","0.128","0.445","3.681","1.054","0.832","6.807","0.632","10.752","4.099","1.479","0.347",44.816
"5.431","0.113","0.450","4.116","1.032","0.863","6.731","0.669","11.247","4.115","1.576","0.355",45.166
"4.870","0.113","0.484","4.453","1.023","0.982","7.005","0.749","10.867","4.208","1.611","0.336",45.516
"5.334","0.127","0.499","4.881","1.065","1.010","7.396","0.786","11.281","4.330","1.566","0.293",45.866
"4.820","0.123","0.537","5.968","1.078","0.964","7.536","0.905","11.551","4.174","1.503","0.296",46.216
"5.624","0.131","0.518","6.172","1.059","0.837","7.334","0.821","12.514","4.450","1.475","0.325",46.566
"4.744","0.126","0.535","6.106","1.013","0.846","7.264","0.791","12.346","4.459","1.456","0.351",46.916
"5.430","0.134","0.530","5.287","1.029","0.884","7.304","0.669","11.405","4.662","1.422","0.334",47.266
"5.231","0.134","0.543","4.981","1.047","0.894","7.101","0.747","10.064","4.327","1.395","0.343",47.616
"6.000","0.138","0.541","5.153","1.049","0.932","7.495","0.662","10.572","4.584","1.502","0.308",47.966
"5.673","0.139","0.538","5.051","1.035","0.916","7.576","0.775","13.032","4.523","1.514","0.303",48.316
"5.578","0.143","0.541","6.023","1.032","0.907","8.148","0.625","13.585","4.460","1.556","0.305",48.666
"5.671","0.141","0.556","6.202","1.003","0.843","7.685","0.699","11.523","3.997","1.426","0.290",49.016
"6.617","0.142","0.579","6.428","1.033","0.840","7.806","0.557","7.893","5.167","1.450","0.317",49.366
"5.951","0.143","0.582","5.839","1.010","0.858","7.803","0.685","6.937","5.411","1.422","0.315",49.716
"6.030","0.150","0.585","5.857","1.045","0.891","8.327","0.674","7.083","5.711","1.439","0.344",50.066
"5.816","0.150","0.563","5.635","1.014","0.927","8.243","0.671","7.490","4.554","1.543","0.373",50.416
"5.661","0.147","0.572","5.572","1.065","0.915","8.474","0.692","8.561","4.432","1.540","0.352",50.766
"5.152","0.131","0.539","5.056","1.027","0.870","7.840","0.723","8.202","4.369","1.489","0.322",51.116
"5.011","0.131","0.510","4.750","1.011","0.831","7.461","0.752","8.232","4.123","1.290","0.255",51.466
"6.033","0.125","0.468","4.290","0.947","0.827","7.302","0.659","7.710","4.031","1.382","0.238",51.816
"6.130","0.132","0.453","4.021","0.969","0.846","7.590","0.582","8.401","4.019","1.441","0.243",52.167
"5.694","0.122","0.438","3.725","0.986","0.855","8.272","0.559","8.261","4.146","1.553","0.240",52.517
"4.269","0.119","0.423","3.505","1.017","0.868","8.221","0.592","7.225","4.119","1.582","0.238",52.867
"3.687","0.108","0.395","3.188","1.021","0.860","8.149","0.581","6.712","4.038","1.596","0.208",53.217
"3.473","0.101","0.388","2.897","1.004","0.873","8.017","0.734","7.390","4.098","1.630","0.201",53.567
"4.637","0.096","0.382","2.519","1.027","0.882","8.336","0.714","8.268","4.133","1.533","0.183",53.917
"6.031","0.092","0.388","2.348","1.057","0.907","8.508","0.733","8.827","4.253","1.502","0.183",54.267
"6.684","0.090","0.375","2.148","1.084","0.919","8.574","0.611","7.855","4.289","1.448","0.182",54.617
"5.490","0.086","0.361","2.063","1.057","0.902","8.621","0.500","7.835","4.291","1.500","0.213",54.967
"5.004","0.085","0.358","1.933","1.019","0.908","8.586","0.455","7.306","4.277","1.542","0.213",55.317
"4.590","0.087","0.364","1.881","1.019","0.917","8.527","0.383","6.779","4.252","1.649","0.205",55.667
"5.738","0.085","0.371","1.855","1.026","0.931","8.127","0.418","5.953","4.305","1.537","0.184",56.017
"5.114","0.080","0.371","1.824","1.022","0.936","8.590","0.468","4.627","4.214","1.493","0.154",56.367
"4.748","0.082","0.359","1.821","1.014","0.926","9.080","0.532","4.692","4.240","1.417","0.151",56.717
"4.458","0.081","0.358","1.800","1.013","0.957","9.719","0.584","6.208","4.242","1.634","0.132",57.066
"4.547","0.086","0.364","1.833","0.997","0.971","9.748","0.630","7.655","4.308","1.792","0.149",57.417
"4.663","0.086","0.379","1.850","0.984","0.993","10.045","0.670","9.077","4.416","1.889","0.169",57.767
"3.908","0.096","0.376","1.812","0.997","0.975","10.178","0.753","8.612","4.446","1.877","0.165",58.117
"4.069","0.089","0.368","1.809","1.029","0.981","10.100","0.730","8.662","4.514","1.771","0.165",58.467
"3.933","0.086","0.362","1.765","1.054","0.974","9.956","0.637","8.779","4.367","1.844","0.147",58.817
"4.040","0.070","0.353","1.686","1.068","0.971","10.454","0.472","8.959","4.370","1.916","0.152",59.167
"3.804","0.070","0.351","1.477","1.085","0.947","10.855","0.386","9.134","4.262","1.945","0.152",59.517
"3.357","0.067","0.352","1.349","1.101","0.958","11.135","0.471","9.000","4.378","1.967","0.149",59.867
"3.611","0.069","0.367","1.314","1.095","0.976","11.042","0.524","8.349","4.428","1.914","0.138",60.217
"3.775","0.064","0.376","1.294","1.082","0.971","11.172","0.539","9.047","4.557","2.097","0.128",60.567
"4.672","0.061","0.375","1.304","1.068","0.964","10.962","0.427","9.778","4.500","2.092","0.130",60.918
"4.691","0.056","0.360","1.235","1.050","0.928","10.973","0.429","10.283","4.461","2.057","0.134",61.268
"4.430","0.060","0.346","1.180","1.042","0.928","11.090","0.427","10.570","4.408","1.898","0.121",61.618
"3.656","0.062","0.349","1.136","1.049","0.914","11.458","0.547","10.247","4.519","1.992","0.104",61.968
"3.544","0.065","0.354","1.049","1.077","0.911","11.539","0.673","10.813","4.503","1.875","0.107",62.318
"4.044","0.066","0.364","1.037","1.131","0.906","11.714","0.765","10.914","4.600","1.973","0.112",62.668
"4.243","0.063","0.360","1.017","1.138","0.889","11.861","0.707","10.269","4.535","1.928","0.121",63.018
"4.419","0.067","0.354","1.122","1.125","0.896","12.160","0.611","9.598","4.543","2.063","0.121",63.368
"3.572","0.072","0.356","1.112","1.104","0.899","12.148","0.526","8.346","4.450","1.959","0.121",63.718
"4.162","0.074","0.352","1.042","1.088","0.901","11.744","0.448","7.480","4.384","1.759","0.108",64.068
"3.949","0.069","0.365","0.967","1.099","0.887","11.104","0.442","7.115","4.320","1.757","0.109",64.418
"4.133","0.065","0.368","0.926","1.073","0.878","10.892","0.532","7.059","4.357","1.735","0.111",64.768
"4.161","0.064","0.377","0.965","1.060","0.878","11.184","0.526","7.979","4.418","1.847","0.151",65.118
"5.023","0.065","0.377","0.955","1.055","0.892","11.587","0.582","8.094","4.539","1.756","0.156",65.468
"5.985","0.063","0.372","1.026","1.087","0.899","12.023","0.556","7.857","4.541","1.793","0.155",65.818
"6.220","0.065","0.369","1.027","1.070","0.893","11.946","0.613","7.444","4.466","1.629","0.123",66.168
"5.520","0.068","0.355","1.011","1.055","0.882","12.045","0.514","7.074","4.346","1.584","0.099",66.518
"5.194","0.072","0.352","0.958","1.038","0.885","12.337","0.518","8.392","4.409","1.480","0.122",66.868
"5.040","0.072","0.356","0.885","1.060","0.894","12.987","0.528","8.129","4.344","1.505","0.114",67.218
"4.969","0.067","0.367","0.859","1.040","0.911","14.299","0.540","8.478","4.340","1.431","0.133",67.568
"5.065","0.068","0.368","0.913","1.030","0.905","14.893","0.524","7.827","4.236","1.457","0.138",67.918
"4.061","0.071","0.354","1.043","1.040","0.908","14.905","0.607","9.794","4.321","1.437","0.147",68.268
"4.690","0.073","0.344","1.091","1.047","0.879","14.192","0.568","10.237","4.291","1.595","0.158",68.618
"4.103","0.076","0.344","1.003","1.078","0.877","13.753","0.540","9.984","4.217","1.509","0.124",68.968
"3.681","0.072","0.344","0.853","1.079","0.889","13.759","0.446","8.127","4.231","1.543","0.146",69.318
"3.588","0.071","0.353","0.739","1.097","0.901","15.217","0.562","9.585","4.419","1.499","0.145",69.669
"3.590","0.065","0.350","0.691","1.100","0.909","14.231","0.578","10.060","4.417","1.659","0.142",70.019
"5.385","0.063","0.357","0.666","1.085","0.900","13.176","0.649","11.056","4.409","1.787","0.132",70.369
"4.966","0.058","0.344","0.615","1.069","0.901","10.382","0.585","8.616","4.249","1.733","0.113",70.719
"5.737","0.053","0.346","0.566","1.053","0.905","10.050","0.596","6.860","4.269","1.627","0.101",71.069
"5.434","0.050","0.336","0.503","1.057","0.904","9.803","0.484","5.714","4.312","1.557","0.092",71.419
"6.181","0.048","0.345","0.494","1.070","0.926","9.706","0.450","6.164","4.389","1.528","0.091",71.769
"5.631","0.045","0.343","0.497","1.091","0.944","9.262","0.434","6.272","4.438","1.513","0.094",72.119
"5.883","0.045","0.349","0.475","1.074","0.956","8.817","0.452","6.050","4.297","1.397","0.093",72.469
"4.994","0.049","0.344","0.478","1.071","0.974","9.103","0.603","5.511","4.352","1.351","0.089",72.819
"5.277","0.052","0.336","0.432","1.044","0.968","9.382","0.570","6.196","4.366","1.363","0.115",73.169
"4.388","0.051","0.335","0.450","1.081","0.978","9.950","0.630","7.324","4.502","1.379","0.101",73.519
"5.375","0.049","0.342","0.440","1.119","0.978","9.740","0.557","7.024","4.369","1.436","0.099",73.869
"5.462","0.046","0.349","0.452","1.151","0.978","9.530","0.589","6.538","4.260","1.469","0.079",74.218
"6.106","0.047","0.352","0.458","1.149","0.974","8.796","0.569","4.849","4.232","1.495","0.077",74.569
"4.986","0.046","0.340","0.452","1.107","0.974","8.449","0.478","4.150","4.269","1.535","0.074",74.919
"4.460","0.047","0.337","0.431","1.048","0.981","7.995","0.429","5.038","4.289","1.464","0.074",75.269
"3.725","0.049","0.339","0.419","1.057","0.988","8.319","0.438","5.773","4.201","1.431","0.078",75.619
"4.133","0.049","0.345","0.393","1.082","0.973","8.057","0.523","6.688","4.217","1.369","0.088",75.969
"4.326","0.049","0.347","0.401","1.094","0.950","7.593","0.543","5.759","4.172","1.336","0.103",76.319
"5.092","0.050","0.349","0.391","1.098","0.934","7.004","0.510","4.637","4.169","1.369","0.092",76.669
"4.468","0.047","0.348","0.404","1.076","0.947","6.636","0.595","4.428","4.124","1.398","0.099",77.019
"5.342","0.052","0.344","0.431","1.066","0.951","6.162","0.644","4.731","4.208","1.409","0.098",77.369
"5.289","0.048","0.333","0.427","1.070","0.943","5.483","0.779","5.246","4.203","1.363","0.110",77.719
"5.737","0.048","0.337","0.440","1.075","0.911","4.874","0.619","5.199","4.211","1.317","0.117",78.07
"6.339","0.045","0.344","0.410","1.111","0.907","4.893","0.521","4.574","4.196","1.429","0.099",78.42
"6.435","0.048","0.355","0.433","1.106","0.905","4.905","0.391","4.538","4.352","1.519","0.113",78.77
"7.555","0.055","0.356","0.528","1.096","0.906","4.745","0.442","5.258","4.305","1.598","0.102",79.12
"6.635","0.061","0.362","0.674","1.120","0.914","4.686","0.563","6.703","4.418","1.562","0.138",79.47
"5.568","0.063","0.361","0.828","1.080","0.899","4.528","0.570","7.496","4.329","1.585","0.150",79.82
