C:\Agilent\ICPMH\1\DATA\12sep12 tune_2.b\PGB07_T.d,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,
Acquired      : 9/12/2012 5:49:24 PM using Batch 12sep12 tune_2.b,,,,,,,,,,,,,
Time [Sec],Li7,B11,Mg24,P31,S34,K39,Ca43,Mn55,Cu63,Zn66,Sr88,Ba138,Pb208
134.775,40,82,868.22,157.07,24818.25,14030.05,13346.01,446.15,14,133.01,63908.93,53,21
135.125,28,58,914.47,132.05,24261.35,12380.13,12749.4,471.16,20,131.01,60602.58,56,21
135.476,16,72,896.37,125.05,24616.7,13970.39,14068.33,427.14,23,105.01,62853.27,45,22
135.826,36,51,941.62,132.05,24809.03,14727.93,13822.17,445.15,38,132.01,62713.61,42,25
136.176,29,82,907.43,116.04,25306.38,14580.95,13282.26,496.18,32,102.01,62417.24,78.01,15
136.526,36,83.01,940.61,130.05,24879.34,13690.81,13631.55,436.14,39,86.01,63374.31,43,24
136.876,32,68,887.32,132.05,25274.02,13566.33,14163.85,415.13,29,116.01,63105.27,58.01,24
137.226,35,64,960.72,114.04,24558,14367.77,13878.53,459.16,24,104.01,59022.14,37,18
137.576,22,66,902.4,114.04,24817.1,14492.82,13063.09,537.21,26,111.01,65539.64,37,30
137.926,30,76,951.67,111.04,25550.35,13919.42,13769.08,454.15,38,75,59836.96,38,11
138.276,23,71,899.39,116.04,25196.63,14160.28,13926.23,496.18,48,55,65124.59,61.01,8
138.626,19,72,916.48,111.04,24387.77,14396.04,16554.55,540.22,34,80,62454.39,35,20
138.976,25,81,952.68,117.04,24654.68,14499.34,14242.04,471.16,38,64,57664.57,29,13
139.326,25,71,887.32,108.03,24592.52,12894.6,12252.51,466.16,24,96.01,57917.91,42,15
139.676,23,65,929.55,116.04,24919.69,14568.98,13356.82,440.14,14,83.01,60635.8,74.01,16
140.026,21,71,926.53,107.03,25212.8,15311.61,13080.36,477.17,30,55,61843.52,33,12
140.376,28,106.01,879.28,148.06,25334.11,15042.99,14510.55,517.2,16,53,59197.33,38,23
140.726,32,83.01,882.3,113.04,25063.88,14513.49,13447.63,499.18,19,74,61455.71,31,4
141.076,16,75,927.54,123.04,24971.59,14937.18,13796.16,503.19,14,60,59947.68,47,6
141.426,31,74,928.54,127.05,24556.85,14733.38,13677.02,532.21,27,117.01,60506.41,52,33
141.776,36,81,879.28,115.04,24908.16,14492.82,13599.08,519.2,13,128.01,58789.61,32,25
142.126,45,65,885.31,126.05,24636.26,13741.71,12989.74,508.19,27,110.01,60141.01,52,18
142.476,31,79,941.62,126.05,24555.69,14068.02,13786.41,525.2,23,159.02,57772.54,37,17
142.826,24,80,833.05,104.03,24860.9,13104.92,12675.1,524.2,28,118.01,60731.07,26,23
143.176,28,68,856.16,130.05,24682.32,14529.81,14151.91,499.18,21,166.02,64619.89,51,37
143.526,31,87.01,995.92,146.06,25570.02,15771.19,14149.74,577.25,27,192.03,62904.97,32,42
143.876,28,80,889.33,128.05,25311,14382.99,13068.49,484.17,28,125.01,60158.96,40,24
144.227,24,53,904.41,148.06,24817.1,14787.84,14121.51,482.17,14,143.02,64112.52,52,33
144.577,29,71,1013.03,129.05,25235.9,15591.59,14709.75,505.19,18,140.01,62247.49,37,25
144.927,23,59,893.35,119.04,24576.41,14579.86,13652.12,489.18,12,97.01,59869.73,37,12
145.277,29,55,857.17,127.05,25200.1,14275.4,13475.75,446.15,17,86.01,58994.19,38,25
145.627,28,78,876.27,132.05,24676.56,14733.38,13877.44,460.16,13,112.01,60418.45,49,18
145.977,30,58,898.38,115.04,24769.86,14696.34,13239.05,418.13,17,117.01,58397.87,48,9
146.327,12,56,882.3,118.04,24577.56,15101.92,14117.17,455.15,13,131.01,63154.46,76.01,23
146.677,29,63,858.17,106.03,24658.14,13977.98,13212.06,426.13,8,108.01,62435.28,50,14
147.027,32,70,913.46,113.04,24677.71,14641.9,14039.03,465.16,11,82,61447.76,42,12
147.377,26,79,897.38,132.05,25218.58,15682.46,13803.75,458.16,23,70,61144.87,53,13
147.727,10,79,928.54,120.04,25269.4,14570.07,12618.05,397.12,13,66,54607.63,42,19
148.077,39,60,843.1,110.04,24585.62,14856.5,13553.63,410.12,19,102.01,62755.41,42,6
148.427,30,63,838.07,103.03,24434.91,15183.8,12847.43,411.13,5,61,60350.68,50,11
148.777,32,72,866.21,105.03,24813.64,14735.55,12892.7,394.12,14,50,62069.52,54,13
149.127,24,64,836.06,101.03,24987.73,15463.58,12635.27,395.12,6,77,59580.32,29,22
149.477,29,83.01,798.88,115.04,25361.85,15299.59,13541.73,426.13,14,93.01,64418.8,33,10
149.827,27,54,831.04,114.04,25718.2,16428.71,14223.58,408.12,17,121.01,65837.09,66.01,32
150.177,20,56,840.08,121.04,24918.54,15672.61,13440.06,455.15,13,131.01,61558.66,57,19
150.527,26,65,879.28,135.05,25103.12,14940.45,13338.45,406.12,25,83.01,57616.8,55,12
150.877,27,74,861.19,122.04,25000.42,15945.49,14200.77,441.14,23,115.01,64468.9,49,22
151.227,29,76,895.36,124.05,24757.18,15833.66,13619.65,386.11,16,120.01,64651.95,49,18
151.577,21,74,816.97,120.04,25197.79,14788.93,13812.42,401.12,17,103.01,59539.96,60.01,25
151.927,21,59,924.52,133.05,25311,15387.03,13537.4,440.14,18,97.01,64646.42,45,15
152.277,29,82,910.45,123.04,25145.83,14735.55,12761.25,418.13,5,46,61151.21,53,3
152.628,23,69,916.48,126.05,25428.9,15271.18,14138.88,440.14,10,82,65656.35,68.01,19
152.978,26,78,855.16,119.04,24524.63,14776.95,13954.42,434.14,10,100.01,69041.19,76.01,15
153.328,38,75,969.77,140.06,24822.86,15626.62,14206.2,404.12,13,132.01,70856.39,63.01,32
153.678,28,68,894.36,162.08,24955.44,14723.57,14434.41,399.12,8,193.03,70105.5,65.01,38
154.028,19,71,874.25,140.06,24812.49,14231.96,13371.95,377.11,10,135.01,71893.55,62.01,24
154.378,19,62,940.61,144.06,24999.27,14377.56,14656.39,377.11,23,98.01,68946.18,60.01,8
154.728,36,71,794.86,134.05,25002.73,14562.45,13331.96,398.12,19,80,70544.84,72.01,17
155.078,25,78,854.15,123.04,24562.6,13903.16,12627.73,382.11,14,56,65847.8,92.01,14
155.428,22,94.01,770.75,128.05,24630.51,13960.63,12989.74,359.1,6,100.01,68192.88,59.01,28
155.778,31,61,856.16,97.03,24609.79,15113.93,13561.2,335.08,13,136.01,66702.45,69.01,23
156.128,28,64,881.29,129.05,25099.65,14166.8,13466.01,359.1,21,95.01,66832.64,69.01,17
156.478,11,52,821.99,132.05,25035.03,14613.6,13350.34,371.1,23,111.01,69687.69,74.01,23
156.828,18,81,876.27,140.06,25794.66,14196.12,13525.5,372.1,16,82,68632.57,49,13
157.178,19,70,891.34,105.03,24832.08,14899.01,13531.99,360.1,20,114.01,67255.09,66.01,18
157.528,24,68,863.2,108.03,24511.97,14665.86,13437.89,410.12,23,147.02,61563.75,74.01,35
157.878,15,59,786.83,113.04,24726.09,13979.07,13925.15,374.1,7,132.01,67162.23,77.01,29
158.228,17,82,865.21,120.04,25480.94,14536.33,13173.18,383.11,12,109.01,65582.15,55,30
158.578,26,67,803.91,122.04,24547.64,13837.05,12929.36,356.09,19,121.01,62527.61,45,21
158.928,23,81,791.85,124.05,25017.73,13038.02,12031.42,333.08,15,109.01,62660.04,53,29
159.278,25,68,772.76,131.05,24534.98,13500.34,13049.07,399.12,24,143.02,64276.73,64.01,48
159.628,35,84.01,913.46,127.05,25051.19,13566.33,13438.98,392.11,20,161.02,66734.15,67.01,24
159.978,19,89.01,875.26,143.06,24764.1,14018.12,14035.78,344.09,13,86.01,70552.25,73.01,18
160.328,21,99.01,751.67,143.06,24727.23,12263.02,12913.18,373.1,11,81,67947.31,70.01,9
160.678,30,76,839.08,138.06,25036.19,13047.73,13221.77,387.11,9,52,69972.18,70.01,14
161.028,23,100.01,874.25,127.05,24840.15,13507.91,13648.87,347.09,16,61,69150.93,76.01,17
161.379,27,105.01,846.11,153.07,25552.67,13651.83,14034.69,365.1,17,84.01,71606.29,96.01,22
161.729,26,111.01,803.91,165.08,24214.25,13247.42,13855.76,358.1,15,91.01,68227.26,73.01,11
162.079,17,104.01,857.17,111.04,24948.52,13014.29,13411.95,312.07,20,60,64658.92,87.01,27
162.429,25,98.01,773.77,125.05,24396.96,12152.44,12801.1,303.07,12,59,62294.64,55,18
162.779,25,110.01,740.62,105.03,24417.66,11510.7,11940.27,289.06,18,30,57255.96,43,18
163.129,21,104.01,639.21,108.03,23774.88,11112.27,10787.33,292.06,10,60,53685.03,61.01,19
163.479,12,142.01,743.63,122.04,23543.58,11352.5,10618.08,345.09,16,135.01,48906.29,43,42
163.829,28,175.02,586.01,93.03,23356.01,10268.23,9499.22,314.07,36,232.04,44579.74,70.01,105.01
164.179,7,185.03,514.78,89.02,22874.26,8558.71,7258.94,257.05,69,509.19,32877.91,1684.25,103.01
164.529,14,156.02,325.31,67.01,21803.5,5910.75,4301.16,281.06,34,374.1,14334.62,469.33,29
164.879,5,66,126.05,53.01,20974.7,3390.73,1472.4,170.02,10,52,4767.84,273.11,7
165.229,8,31,40,60.01,20136.23,2402.99,530.83,202.03,4,32,1823.87,33,2
165.579,3,16,10,55.01,20291.25,2160.75,252.19,182.02,3,11,844.12,0,1
165.929,5,21,10,59.01,20247.42,2043.3,41,172.02,0,7,256.2,3,1
166.279,0,16,2,45.01,19992.56,2114.16,37,186.03,0,9,173.09,0,0
166.629,0,10,1,45.01,20348.57,1936.04,43.01,169.02,0,6,30,0,4
166.979,5,11,1,39,20233.94,1953.24,3,188.03,1,6,34,1,0
167.329,4,13,0,63.01,20317.09,1971.45,13,184.03,0,2,1,0,2
167.679,0,19,0,54.01,19776.17,1852.11,2,193.03,1,6,15,0,0
168.029,1,14,4,46.01,19921.9,2018,1,171.02,0,10,0,0,0
168.379,5,15,3,41,19878.17,1935.03,1,174.02,0,10,18,0,0
168.729,3,16,4,51.01,19637.27,1879.41,0,209.03,0,12,0,0,0
169.079,1,12,1,44.01,20241.81,1802.58,2,197.03,3,14,3,0,1
169.429,1,15,0,62.01,20098.06,1840.99,0,159.02,1,10,12,0,0
169.78,3,20,1,61.01,19568.98,2038.24,1,177.02,0,9,3,0,1
170.13,4,9,0,34,19736.95,1983.59,2,174.02,2,5,0,0,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
          Printed: 9/12/2012 5:52:29 PM,,,,,,,,,,,,,
