"Li7_Ca43_umol_mol","X_B11_Ca43_mmol_mol","X_Mg24_Ca43_mmol_mol","P31_Ca43_mmol_mol","S34_Ca43_mmol_mol","K39_Ca43_mmol_mol","X_Mn55_Ca43_umol_mol","X_Cu63_Ca43_umol_mol","X_Zn66_Ca43_umol_mol","X_Sr88_Ca43_mmol_mol","X_Ba138_Ca43_umol_mol","Pb208_Ca43_umol_mol","time"
"6.117","0.048","0.297","0.806","0.970","0.897","2.739","0.645","15.152","3.940","2.746","0.060",52.166
"5.791","0.047","0.299","0.752","0.924","0.864","2.814","0.800","18.320","3.783","2.570","0.062",52.516
"6.608","0.044","0.298","0.760","0.963","0.857","2.540","0.820","19.057","3.878","2.623","0.050",52.866
"6.179","0.045","0.293","0.728","0.958","0.818","2.454","0.741","19.294","3.753","2.626","0.054",53.216
"5.991","0.047","0.287","0.785","1.023","0.818","2.416","0.638","23.961","3.855","2.866","0.062",53.566
"6.020","0.050","0.294","0.812","1.054","0.838","2.948","0.732","29.673","3.895","3.097","0.086",53.916
"4.969","0.045","0.272","0.848","1.059","0.811","2.922","0.636","33.398","3.676","3.051","0.101",54.266
"4.794","0.046","0.273","0.809","1.038","0.793","3.091","0.735","36.579","3.663","3.230","0.124",54.616
"3.861","0.048","0.269","0.814","0.974","0.754","2.892","0.771","38.486","3.575","3.497","0.126",54.966
"4.593","0.057","0.301","0.867","0.996","0.817","3.075","0.907","44.753","3.940","3.923","0.154",55.316
"5.283","0.059","0.294","0.889","1.010","0.804","3.468","0.899","49.276","3.931","4.006","0.152",55.666
"4.972","0.056","0.300","0.868","1.040","0.780","3.569","0.774","53.254","3.942","3.829","0.132",56.016
"5.306","0.048","0.287","0.864","1.014","0.730","3.849","0.775","54.353","3.801","3.931","0.126",56.366
"5.293","0.045","0.287","0.851","1.013","0.757","3.645","0.746","54.948","3.740","3.798","0.137",56.716
"5.540","0.044","0.282","0.911","1.041","0.764","3.929","0.865","58.574","3.768","4.009","0.221",57.066
"5.001","0.046","0.296","0.938","1.040","0.795","4.349","0.777","65.378","3.853","4.077","0.264",57.416
"4.010","0.047","0.304","0.991","1.024","0.772","4.539","0.786","71.385","3.860","4.429","0.266",57.766
"4.715","0.050","0.299","0.933","1.039","0.750","4.664","0.670","69.245","3.718","4.382","0.222",58.116
"4.440","0.054","0.292","0.907","1.082","0.737","4.558","0.781","65.131","3.676","4.436","0.173",58.467
"4.950","0.055","0.285","0.861","1.072","0.734","4.644","0.741","58.301","3.650","4.061","0.169",58.817
"3.868","0.051","0.296","0.904","1.035","0.747","4.648","0.767","57.595","3.777","4.230","0.186",59.167
"5.067","0.045","0.300","0.898","1.024","0.749","4.702","0.605","56.425","3.750","4.193","0.194",59.517
"4.866","0.048","0.307","0.905","1.043","0.760","4.823","0.610","58.126","4.010","4.616","0.183",59.867
"5.460","0.052","0.307","0.866","1.090","0.775","4.723","0.536","57.725","4.102","4.490","0.159",60.217
"5.328","0.051","0.297","0.820","1.019","0.771","4.274","0.604","53.234","4.046","4.425","0.121",60.567
"5.381","0.048","0.298","0.819","1.016","0.753","4.090","0.674","49.446","3.833","4.436","0.118",60.917
"5.579","0.046","0.298","0.788","0.967","0.743","4.280","0.704","44.520","3.811","4.853","0.099",61.267
"5.091","0.050","0.310","0.784","1.022","0.750","4.510","0.681","44.246","3.891","5.031","0.117",61.617
"5.309","0.050","0.308","0.765","1.047","0.776","4.526","0.603","43.076","4.073","5.183","0.114",61.967
"4.853","0.049","0.314","0.723","1.056","0.792","4.519","0.479","42.602","4.043","4.667","0.118",62.317
"5.042","0.046","0.309","0.717","1.048","0.785","4.486","0.516","40.419","4.064","4.669","0.120",62.667
"4.524","0.041","0.296","0.687","1.054","0.802","4.165","0.581","36.742","3.948","4.166","0.123",63.017
"4.449","0.038","0.283","0.703","1.046","0.812","3.908","0.676","33.715","3.982","3.921","0.132",63.367
"4.134","0.043","0.281","0.647","1.050","0.829","4.065","0.657","29.840","3.998","3.353","0.130",63.717
"4.474","0.044","0.289","0.642","1.034","0.824","4.301","0.519","25.995","4.051","3.024","0.131",64.067
"4.831","0.046","0.300","0.602","1.023","0.807","4.444","0.459","22.707","4.097","2.640","0.110",64.417
"4.251","0.044","0.295","0.632","1.045","0.808","4.167","0.587","20.599","4.081","2.538","0.129",64.767
"4.209","0.045","0.305","0.615","1.042","0.839","4.091","0.681","22.940","4.079","2.464","0.136",65.117
"4.316","0.045","0.308","0.637","1.066","0.865","4.307","0.773","24.497","3.998","2.564","0.182",65.467
"4.853","0.046","0.322","0.654","1.052","0.892","4.372","0.726","25.844","4.065","2.676","0.214",65.817
"4.329","0.045","0.314","0.618","1.087","0.866","4.474","0.623","23.184","4.036","2.632","0.200",66.167
"3.957","0.048","0.301","0.580","1.116","0.867","4.013","0.595","19.431","4.155","2.583","0.153",66.517
"4.355","0.045","0.296","0.539","1.115","0.877","4.119","0.601","17.359","4.085","2.457","0.120",66.867
"5.074","0.044","0.302","0.503","1.083","0.878","4.130","0.749","16.286","4.126","2.518","0.136",67.218
"5.123","0.043","0.306","0.475","1.057","0.864","4.672","0.825","17.204","4.117","2.624","0.156",67.568
"4.688","0.045","0.306","0.417","1.034","0.831","4.564","0.768","17.530","4.145","2.614","0.145",67.918
"4.630","0.043","0.311","0.429","1.049","0.816","4.491","0.616","17.089","4.072","2.587","0.132",68.268
"5.418","0.040","0.305","0.445","1.053","0.826","4.322","0.494","15.575","4.008","2.443","0.136",68.618
"6.130","0.036","0.306","0.461","1.057","0.829","4.709","0.544","15.522","3.963","2.365","0.155",68.968
"5.651","0.038","0.302","0.451","1.009","0.828","4.978","0.628","15.326","3.980","2.311","0.178",69.318
"5.043","0.038","0.310","0.470","1.038","0.830","4.926","0.728","15.955","3.968","2.210","0.154",69.668
"4.435","0.039","0.311","0.476","1.092","0.834","4.578","0.606","16.163","4.068","2.264","0.120",70.018
"4.944","0.040","0.309","0.480","1.132","0.834","4.499","0.540","17.815","4.034","2.076","0.100",70.368
"5.247","0.042","0.320","0.462","1.103","0.831","4.914","0.468","21.334","4.164","2.206","0.106",70.718
"5.242","0.044","0.320","0.494","1.077","0.837","5.422","0.567","22.251","4.131","2.264","0.168",71.068
"5.113","0.042","0.323","0.495","1.047","0.816","5.817","0.715","22.589","4.093","2.470","0.189",71.418
"5.708","0.042","0.322","0.489","1.055","0.812","5.684","0.673","23.287","3.987","2.609","0.244",71.768
"6.043","0.042","0.315","0.462","1.062","0.797","5.679","0.568","23.007","3.861","2.636","0.208",72.118
"7.130","0.044","0.319","0.453","1.090","0.812","5.804","0.507","21.232","3.928","2.493","0.223",72.468
"7.031","0.043","0.310","0.441","1.108","0.811","6.007","0.544","18.087","3.910","2.437","0.211",72.818
"7.625","0.042","0.323","0.422","1.091","0.807","6.032","0.643","16.711","4.021","2.445","0.261",73.168
"6.774","0.037","0.312","0.410","1.070","0.792","6.233","0.612","18.382","4.009","2.705","0.276",73.518
"6.116","0.041","0.323","0.399","1.056","0.786","6.502","0.589","18.829","3.919","2.522","0.262",73.868
"4.812","0.039","0.315","0.397","1.049","0.787","6.870","0.551","18.613","3.987","2.657","0.218",74.218
"3.915","0.041","0.327","0.422","1.024","0.798","6.577","0.580","17.884","3.936","2.746","0.220",74.568
"3.959","0.037","0.320","0.420","1.020","0.785","6.645","0.646","18.369","4.024","2.957","0.217",74.918
"3.941","0.034","0.326","0.426","1.054","0.789","6.560","0.607","21.154","3.951","2.781","0.252",75.268
"5.228","0.031","0.326","0.414","1.118","0.786","6.812","0.615","21.445","4.004","2.700","0.232",75.619
"4.773","0.029","0.321","0.411","1.107","0.774","6.770","0.485","19.379","3.958","2.605","0.211",75.969
"5.576","0.034","0.316","0.408","1.110","0.777","6.978","0.508","19.007","3.986","2.739","0.185",76.319
"5.969","0.039","0.320","0.376","1.095","0.799","7.567","0.485","21.836","4.073","2.967","0.217",76.669
"6.940","0.040","0.335","0.389","1.112","0.827","8.041","0.643","25.315","4.059","2.945","0.302",77.019
"6.461","0.038","0.336","0.376","1.081","0.805","8.317","0.762","26.707","3.987","2.831","0.316",77.369
"5.380","0.036","0.324","0.381","1.072","0.785","8.293","0.704","24.577","3.892","2.729","0.254",77.719
"5.267","0.039","0.317","0.354","1.069","0.762","7.954","0.588","21.203","3.907","2.926","0.197",78.069
"5.121","0.041","0.319","0.343","1.107","0.771","8.196","0.407","16.714","3.858","3.079","0.169",78.419
"5.440","0.039","0.334","0.341","1.085","0.761","8.476","0.364","14.176","3.832","2.992","0.178",78.769
"5.165","0.037","0.332","0.354","1.054","0.771","9.180","0.529","16.699","3.840","2.968","0.176",79.119
"4.540","0.034","0.335","0.366","1.007","0.763","9.646","0.618","19.722","3.909","2.945","0.261",79.469
"4.163","0.035","0.332","0.371","1.003","0.761","9.986","0.694","20.689","3.913","2.853","0.333",79.819
"4.778","0.035","0.343","0.374","1.013","0.749","10.403","0.573","20.567","3.975","2.978","0.384",80.169
"6.491","0.036","0.349","0.353","1.061","0.748","10.980","0.607","19.546","3.911","2.956","0.341",80.519
"7.805","0.034","0.357","0.362","1.078","0.752","11.342","0.696","20.127","3.853","3.035","0.342",80.869
"7.630","0.034","0.352","0.362","1.044","0.774","11.268","0.805","19.784","3.752","2.820","0.330",81.219
"7.476","0.035","0.343","0.385","1.051","0.787","11.015","0.764","19.046","3.816","2.658","0.304",81.569
"7.040","0.039","0.340","0.369","1.048","0.813","11.058","0.728","17.744","3.958","2.438","0.256",81.919
"6.991","0.040","0.337","0.368","1.108","0.807","11.147","0.589","14.599","3.951","2.412","0.213",82.269
"6.232","0.040","0.342","0.379","1.039","0.814","11.008","0.661","13.133","3.916","2.431","0.227",82.619
"6.288","0.034","0.335","0.403","1.024","0.789","10.731","0.536","13.394","3.829","2.404","0.232",82.969
"6.679","0.035","0.343","0.427","1.005","0.784","10.889","0.585","12.976","3.892","2.244","0.213",83.319
"7.704","0.033","0.339","0.418","1.008","0.752","11.185","0.440","11.278","3.838","1.953","0.175",83.669
"7.578","0.036","0.343","0.435","1.024","0.782","11.417","0.451","8.597","3.914","1.896","0.124",84.019
"7.349","0.037","0.333","0.424","0.981","0.789","11.238","0.443","7.422","3.807","1.882","0.124",84.37
"8.071","0.042","0.337","0.474","1.004","0.826","10.359","0.507","7.549","3.956","1.946","0.170",84.72
"8.997","0.044","0.334","0.459","0.964","0.804","9.368","0.587","21.226","3.817","1.836","0.212",85.07
"10.145","0.048","0.329","0.463","0.983","0.810","8.272","0.575","25.691","3.823","1.736","0.229",85.42
"11.259","0.044","0.338","0.430","0.955","0.803","7.154","0.667","27.991","3.628","1.695","0.194",85.77
"11.808","0.044","0.348","0.453","1.006","0.839","6.672","0.625","18.440","3.675","1.806","0.169",86.12
"12.792","0.043","0.352","0.434","1.025","0.834","6.012","0.661","22.372","3.726","1.909","0.210",86.47
"12.434","0.041","0.342","0.395","1.061","0.858","5.718","0.617","25.921","3.770","2.036","0.292",86.82
"12.742","0.038","0.337","0.380","1.018","0.860","5.270","0.703","27.883","3.867","2.138","0.350",87.17
"12.044","0.033","0.332","0.358","0.988","0.865","5.068","0.717","23.969","3.840","2.274","0.359",87.52
"12.321","0.036","0.332","0.368","1.022","0.846","5.480","0.716","20.737","3.995","2.364","0.311",87.87
"13.669","0.038","0.327","0.321","1.062","0.839","5.302","0.672","18.206","3.922","2.282","0.298",88.22
"15.188","0.037","0.332","0.313","1.084","0.856","5.595","0.591","16.878","3.961","2.228","0.286",88.57
"14.991","0.034","0.332","0.299","1.060","0.860","5.525","0.480","17.891","3.957","2.050","0.286",88.92
"13.903","0.031","0.330","0.316","1.047","0.851","5.788","0.527","18.157","3.913","1.895","0.275",89.27
"12.561","0.031","0.330","0.317","1.047","0.836","5.883","0.612","17.268","3.873","1.899","0.235",89.62
"12.984","0.033","0.325","0.314","1.016","0.823","5.585","0.649","14.151","3.784","2.129","0.169",89.97
"13.133","0.035","0.324","0.307","1.013","0.823","5.293","0.532","13.581","3.847","2.211","0.136",90.32
"15.520","0.034","0.325","0.297","0.999","0.842","5.413","0.488","12.413","3.858","2.143","0.148",90.67
"18.409","0.035","0.335","0.309","1.019","0.881","6.326","0.475","14.267","3.947","2.062","0.195",91.02
"21.614","0.036","0.330","0.307","1.012","0.883","7.598","0.470","13.818","3.868","2.092","0.214",91.37
"23.929","0.040","0.340","0.338","1.084","0.878","8.663","0.482","13.206","3.875","2.028","0.190",91.72
"22.132","0.040","0.332","0.327","1.072","0.867","8.775","0.385","10.495","3.746","1.899","0.145",92.07
"23.732","0.039","0.347","0.339","1.105","0.875","9.549","0.433","9.149","3.819","2.001","0.141",92.42
"25.768","0.038","0.336","0.351","1.031","0.887","9.979","0.440","9.386","3.778","1.998","0.142",92.771
"28.649","0.035","0.345","0.363","1.019","0.873","10.723","0.552","10.373","3.816","2.112","0.180",93.121
"26.802","0.038","0.334","0.357","0.983","0.879","10.292","0.586","11.709","3.811","2.092","0.192",93.471
"21.713","0.036","0.343","0.339","0.980","0.867","9.984","0.557","12.071","3.829","2.258","0.188",93.821
"18.941","0.040","0.345","0.348","0.969","0.885","9.654","0.599","12.909","3.812","2.295","0.178",94.171
"16.914","0.042","0.346","0.342","0.976","0.858","9.219","0.661","14.401","3.686","2.465","0.183",94.521
"17.935","0.045","0.340","0.359","1.054","0.852","9.007","0.803","17.603","3.654","2.541","0.204",94.871
"17.624","0.041","0.340","0.366","1.056","0.870","9.072","0.916","23.276","3.709","2.752","0.275",95.221
"18.652","0.036","0.339","0.397","1.073","0.897","9.204","0.872","25.231","3.710","2.916","0.266",95.571
"17.109","0.030","0.340","0.365","1.019","0.899","9.323","0.774","24.047","3.687","2.971","0.263",95.921
"16.203","0.030","0.331","0.355","1.018","0.878","9.011","0.616","20.189","3.558","2.776","0.213",96.271
"15.032","0.030","0.339","0.324","1.020","0.882","9.157","0.576","19.773","3.699","2.687","0.217",96.621
"15.364","0.030","0.333","0.337","1.021","0.901","8.912","0.539","20.697","3.716","2.623","0.231",96.971
"14.742","0.029","0.331","0.308","1.038","0.906","9.358","0.522","20.976","3.784","2.704","0.238",97.321
"15.006","0.028","0.330","0.293","1.014","0.914","9.669","0.477","18.617","3.652","2.645","0.215",97.671
"15.020","0.030","0.331","0.268","0.988","0.898","9.836","0.414","15.803","3.703","2.557","0.194",98.021
"15.546","0.030","0.334","0.244","0.987","0.904","9.760","0.394","13.855","3.697","2.651","0.154",98.371
"15.866","0.033","0.326","0.243","1.003","0.908","9.581","0.356","15.149","3.796","2.614","0.180",98.721
"16.795","0.031","0.331","0.245","1.028","0.935","9.874","0.365","21.529","3.812","2.767","0.171",99.071
"18.517","0.032","0.339","0.275","1.017","0.934","9.972","0.402","28.052","3.796","2.675","0.188",99.421
"20.910","0.032","0.346","0.271","1.036","0.944","10.282","0.429","27.143","3.786","2.719","0.157",99.771
"21.721","0.033","0.353","0.270","1.048","0.935","10.220","0.451","19.340","3.756","2.593","0.127",100.121
"23.136","0.033","0.338","0.250","1.057","0.955","10.481","0.472","11.511","3.790","2.342","0.093",100.471
"22.936","0.031","0.341","0.246","1.022","0.953","10.830","0.449","10.915","3.795","2.252","0.090",100.821
"26.680","0.033","0.333","0.259","1.006","0.979","10.886","0.521","12.525","3.892","2.282","0.118",101.171
"27.295","0.033","0.342","0.269","1.022","0.989","10.994","0.584","14.051","3.895","2.563","0.135",101.522
"30.519","0.032","0.342","0.283","1.067","0.969","10.786","0.592","13.689","3.900","2.539","0.150",101.872
"30.217","0.030","0.354","0.267","1.067","0.947","10.775","0.526","13.190","3.868","2.672","0.152",102.222
"31.647","0.029","0.347","0.272","1.057","0.935","10.284","0.540","15.291","3.919","2.754","0.211",102.572
"30.629","0.027","0.340","0.292","1.021","0.946","9.804","0.732","18.727","3.841","2.666","0.254",102.922
"27.761","0.028","0.336","0.337","1.013","0.946","9.801","0.764","19.486","3.796","2.470","0.260",103.272
"23.967","0.028","0.357","0.352","1.033","0.969","9.943","0.706","17.094","3.877","2.190","0.233",103.622
"21.344","0.029","0.360","0.354","1.034","0.977","10.186","0.646","12.789","3.980","2.042","0.170",103.972
"20.277","0.029","0.358","0.322","1.038","0.992","9.891","0.775","10.780","4.053","1.893","0.179",104.322
"19.459","0.032","0.335","0.346","1.010","0.988","10.125","0.674","12.024","3.894","1.759","0.217",104.672
"15.907","0.031","0.339","0.307","0.994","0.998","9.897","0.587","13.702","3.713","1.833","0.234",105.022
"13.838","0.031","0.337","0.305","1.003","1.014","10.476","0.380","14.446","3.597","1.753","0.231",105.372
"11.615","0.030","0.356","0.269","1.009","1.018","10.511","0.466","13.252","3.612","1.817","0.205",105.722
"9.647","0.032","0.363","0.266","1.044","1.037","11.115","0.539","10.931","3.614","1.705","0.195",106.072
